Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18498559,Tibetan Peach Pie: A True Account of an Imaginative Life,Tom Robbins,"Robbins, Tom",,"=""006226740X""","=""9780062267405""",5,3.88,Ecco,Hardcover,384,2014,2014,2017/06/18,2015/01/04,"robbins, biography","robbins (#11), biography (#24)",read,"I finally got around to reading the Tom Robbins memoir ""Tibetan Peach Pie"". What a fascinating life! And, as one would expect, Robbins does to memoirs what he previously did to the novel - this is much more than a simple recounting of a remarkable life, he manages to provoke a sense of wonder and awe even in this non-fiction format and continues to dazzle with the brilliance of his prose. Full of great funny provocative stories that reflect on not just the man and his writing but on our culture, consciousness, evolution, place in nature, the cosmic comedy, and everything.<br/><br/>Thanks Tom Robbins!",,,1,0
22289,"Fugitives and Refugees: A Walk in Portland, Oregon",Chuck Palahniuk,"Palahniuk, Chuck",,"=""1400047838""","=""9781400047833""",5,3.51,Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,Hardcover,176,2003,2003,,2018/08/02,"nonfiction, biography","nonfiction (#21), biography (#26)",read,,,,0,0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.36,Orbit,Paperback,416,2017,2017,,2018/07/10,science-fiction,science-fiction (#119),read,,,,1,0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.31,Orbit,Paperback,410,2016,2016,,2018/07/10,science-fiction,science-fiction (#118),read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.32,Orbit,Paperback,468,2015,2015,,2018/07/10,science-fiction,science-fiction (#117),read,,,,1,0
22462852,Double Star,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",0,3.91,Signet Books,Mass Market Paperback,128,,1956,,2018/05/26,science-fiction,science-fiction (#116),read,,,,0,0
17864526,The Hemingway Hoax - Hugo & Nebula Winning Novella,Joe Haldeman,"Haldeman, Joe",,"=""1612421369""","=""9781612421360""",0,3.50,Phoenix Pick,Paperback,130,2013,1990,,2018/05/26,science-fiction,science-fiction (#115),read,,,,0,0
46134,A Wild Sheep Chase,Haruki Murakami,"Murakami, Haruki",,"=""0008701190""","=""""",5,3.94,Kodansha International/USA Ltd.,Hardcover,299,1989,1982,,2018/05/14,murakami,murakami (#6),read,,,,1,0
20576746,Dance Dance Dance,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""""","=""""",5,4.05,Vintage,Paperback,393,1995,1988,,2018/05/14,murakami,murakami (#7),read,,,,1,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",5,4.29,PanMacmillan,Hardcover,600,2015,2015,,2018/04/13,science-fiction,science-fiction (#114),read,"“Children Of Time” by Adrian Tchaikovsky, recipient of the Arthur C. Clarke Award for best science fiction of the year in 2016, is the best new science fiction novel I have read in many years.",,,2,0
23533039,"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie,"Leckie, Ann",,"=""0356502422""","=""9780356502427""",5,4.20,Orbit,Paperback,330,2015,2015,,2018/04/13,science-fiction,science-fiction (#113),read,,,,1,0
20706284,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie,"Leckie, Ann",,"=""0316246654""","=""9780316246651""",5,4.06,Orbit,Paperback,359,2014,2014,,2018/04/13,science-fiction,science-fiction (#112),read,,,,1,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""031624662X""","=""9780316246620""",5,3.98,Orbit,Paperback,416,2013,2013,,2018/04/13,science-fiction,science-fiction (#111),read,,,,1,0
5045793,Dr. Futurity,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",5,3.58,Ace Books (NY),Paperback,138,1960,1960,,2009/06/09,"science-fiction, novels, p-k-dick","science-fiction (#21), novels (#68), p-k-dick (#12)",read,,,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5,4.43,TOR,Hardcover,604,2016,2010,2017/10/12,2017/09/09,science-fiction,science-fiction (#110),read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Eisso Post, Joel Martinsen, Bruno Roubicek, Richard Heufkens","=""""","=""""",0,4.41,Tor Books,Hardcover,512,2015,2008,,2017/09/09,science-fiction,science-fiction (#109),read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",5,4.08,Tor Books,Hardcover,399,2014,2006,,2017/06/18,science-fiction,science-fiction (#108),read,,,,1,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",5,4.16,Knopf,Paperback,607,1997,1994,,2017/07/01,murakami,murakami (#4),read,,,,1,0
17070423,Nilsson: The Life of a Singer-Songwriter,Alyn Shipton,"Shipton, Alyn",,"=""0199756570""","=""9780199756575""",5,4.04,"Oxford University Press, USA",Hardcover,368,2013,2013,,2017/08/26,biography,biography (#25),read,,,,1,0
274046,Freeware (Ware #3),Rudy Rucker,"Rucker, Rudy",,"=""038078159X""","=""9780380781591""",0,3.75,Eos,Paperback,262,1998,1997,,2009/06/10,"science-fiction, novels","science-fiction (#1), novels (#145)",read,,,,1,0
96647,Scar Tissue,Anthony Kiedis,"Kiedis, Anthony",Larry Sloman,"=""1401307450""","=""9781401307455""",4,4.11,Hachette Books,Paperback,465,2022,2004,,2009/06/10,"biography, nonfiction","biography (#1), nonfiction (#2)",read,,,,1,0
48462,Collected Works: Wise Blood / A Good Man Is Hard to Find / The Violent Bear It Away / Everything That Rises Must Converge / Essays and Letters,Flannery O'Connor,"O'Connor, Flannery",Sally Fitzgerald,"=""0940450372""","=""9780940450370""",0,4.51,Library of America,Hardcover,1281,1988,1988,,2009/06/10,"literature, novels, fiction, short-stories","literature (#1), novels (#72), fiction (#68), short-stories (#46)",read,,,,1,0
17803,After Dark,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0307265838""","=""9780307265838""",0,3.74,Knopf,Hardcover,191,2007,2004,,2017/07/01,murakami,murakami (#5),read,,,,1,0
95777,At Canaan's Edge: America in the King Years 1965-68,Taylor Branch,"Branch, Taylor",,"=""0684857138""","=""9780684857138""",5,4.42,Simon  Schuster,Paperback,1056,2007,2006,2017/07/01,2015/01/04,,,read,,,,1,0
19523454,Beautiful You,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385538030""","=""9780385538039""",0,3.03,Doubleday,Hardcover,240,2014,2014,,2017/06/18,"fiction, palahniuk","fiction (#123), palahniuk (#7)",read,,,,1,0
13329016,Candide,Voltaire,"Voltaire, Voltaire",,"=""B00085PI0E""","=""""",5,3.77,The Literary Guild,Hardcover,111,1929,1759,2017/06/18,2015/01/04,"fiction, literature","fiction (#122), literature (#132)",read,,,,1,0
22393419,"The Digger Movement in the Days of the Commonwealth As Revealed in the Writings of Gerrard Winstanley, the Digger, Mystic and Rationalist, Communist and Social Reformer",Lewis Henry Berens,"Berens, Lewis Henry",,"=""""","=""""",5,4.09,Public Domain Books,Kindle Edition,280,2006,1961,,2014/09/30,,,read,,,,1,0
851178,Survivor,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393047024""","=""9780393047028""",5,3.93,W. W. Norton  Company,Hardcover,306,1999,1999,,2016/02/21,"fiction, novels, palahniuk","fiction (#117), novels (#176), palahniuk (#6)",read,,,,1,0
7076703,Survivor,Chuck Palahniuk,"Palahniuk, Chuck",,"=""039333807X""","=""9780393338072""",5,3.93,W. W. Norton  Company,Paperback,289,2010,1999,,2016/06/10,"palahniuk, fiction, novels","palahniuk (#2), fiction (#119), novels (#178)",read,,,,1,0
106484,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""""","=""""",5,4.14,Vintage,Paperback,400,1993,1985,2016/07/03,2016/07/03,"literature, science-fiction, fiction, novels, murakami","literature (#130), science-fiction (#107), fiction (#121), novels (#180), murakami (#3)",read,"I really loved this novel. Sort of a hybrid between a hard-bitten detective novel by Raymond Chandler and a surreal fantasy world of Richard Brautigan. I wonder if Murakami was influenced by Brautigan who, later in his career, became famous in Japan and even moved there for a while.<br/><br/>This book was such a pleasure to read. I'm sad I've finished it. However, I have plenty more of Murakami to read.",,,1,0
45296,"Blind Willow, Sleeping Woman",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""1400096081""","=""9781400096084""",5,3.84,Vintage,Paperback,362,2007,2006,,2016/08/13,"short-stories, murakami","short-stories (#45), murakami (#2)",read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.14,Vintage International,Paperback,467,2006,2002,,2016/10/13,"fiction, novels, literature, murakami","fiction (#120), novels (#179), literature (#131), murakami (#1)",read,,,,1,0
25147580,Reckless: My Life as a Pretender,Chrissie Hynde,"Hynde, Chrissie",,"=""0385540612""","=""9780385540612""",5,3.45,Doubleday,Hardcover,312,2015,2015,,2016/11/20,biography,biography (#23),read,,,,1,0
363202,Einstein's Miraculous Year,John J. Stachel,"Stachel, John J.","Roger Penrose, Albert Einstein","=""0691122288""","=""9780691122281""",4,4.20,Princeton University Press,Paperback,272,2005,1998,,2014/09/30,science,science (#31),read,,,,1,0
22822857,Make Something Up: Stories You Can't Unread,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385538057""","=""9780385538053""",5,3.50,Doubleday,Hardcover,318,2015,2015,,2015/10/31,"fiction, short-stories, palahniuk","fiction (#116), short-stories (#44), palahniuk (#5)",read,,,,1,0
1840511,Snuff,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385517882""","=""9780385517881""",5,3.21,Doubleday,Hardcover,208,2008,2008,,2013/11/09,"fiction, novels, palahniuk","fiction (#108), novels (#171), palahniuk (#4)",read,,,,1,0
22285,Rant,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385517874""","=""9780385517874""",5,3.83,Doubleday Books,Hardcover,320,2007,2007,,2013/09/19,"fiction, novels, palahniuk","fiction (#105), novels (#168), palahniuk (#3)",read,"This may, in fact, be the best book ever written. Apologies to Tom Robbins and ""Jitterbug Perfume"".",,,1,0
6855294,Tell-All,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385526350""","=""9780385526357""",4,2.87,Doubleday,Hardcover,192,2010,2010,,2016/06/10,"novels, fiction, palahniuk","novels (#177), fiction (#118), palahniuk (#1)",read,,,,1,0
851879,You Can't Catch Death: A Daughter's Memoir,Ianthe Brautigan,"Brautigan, Ianthe",,"=""031225296X""","=""9780312252960""",4,3.97,St. Martin's Press,Hardcover,192,2000,2000,,2016/04/20,"brautigan, biography","brautigan (#20), biography (#22)",read,,,,1,0
24998977,Kiss the Sky: My Weekend in Monterey at the Greatest Concert Ever,Dusty Baker,"Baker, Dusty",,"=""0985419083""","=""9780985419080""",5,4.20,Wellstone Books,Paperback,168,2015,2015,2016/02/25,2016/02/25,"nonfiction, biography","nonfiction (#20), biography (#21)",read,,,,1,0
27400601,The Short Stories of Ernest Hemingway,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",5,4.18,Charles Scribner's Sons,Hardcover,499,1953,1938,,2015/10/31,"literature, short-stories","literature (#127), short-stories (#43)",read,,,,1,0
441870,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",5,4.02,The Modern Library (NY),Hardcover,278,1948,1947,,2015/10/31,"literature, fiction, novels","literature (#129), fiction (#115), novels (#175)",read,,,,1,0
15757119,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""""","=""""",5,4.04,Alfred A. Knopf (NY),Hardcover,147,1956,1956,,2015/10/31,"literature, fiction, novels","literature (#128), fiction (#114), novels (#174)",read,,,,1,0
18680461,Selected Short Stories of William Faulkner,William Faulkner,"Faulkner, William",,"=""9780679424""","=""""",0,3.70,,Hardcover,310,,,,2015/10/30,"literature, short-stories","literature (#126), short-stories (#42)",read,,,,1,0
653118,Sandy Koufax: A Lefty's Legacy,Jane Leavy,"Leavy, Jane",,"=""0060933291""","=""9780060933296""",0,4.06,Harper Perennial,Paperback,336,2003,2002,,2015/09/21,"biography, nonfiction","biography (#20), nonfiction (#19)",read,,,,1,0
6899530,The Last Boy: Mickey Mantle and the End of America's Childhood,Jane Leavy,"Leavy, Jane",,"=""0060883529""","=""9780060883522""",0,3.96,Harper,Hardcover,456,2010,2010,,2015/09/08,"biography, nonfiction","biography (#19), nonfiction (#18)",read,,,,1,0
6557240,Strange Relations,Philip José Farmer,"Farmer, Philip José",Bob Haberfield,"=""""","=""""",5,3.41,Panther Science Fiction,Paperback,189,1973,1960,,2009/06/18,"short-stories, science-fiction, farmer","short-stories (#37), science-fiction (#100), farmer (#4)",read,,,,1,0
25463452,Power Shift: From Fossil Energy to Dynamic Solar Power,Robert Arthur Stayton,"Stayton, Robert Arthur",,"=""099047920X""","=""9780990479208""",5,4.58,Sandstone Publishing,Paperback,346,2015,2015,2015/07/16,2015/07/16,"nonfiction, reference, science","nonfiction (#17), reference (#8), science (#30)",read,"""Power Shift"" really should be required reading for all. This book clearly and concisely explains the evolution of mankind's use of energy and the role of energy in our rise as dominant species of planet Earth.<br/><br/>Anyone involved in the climate debate or the impact of fossil fuel use on the climate should read this book. Our educators should read this book. In fact, I would recommend everybody read this book.<br/><br/>Don't think that because Stayton provides a clear and concise explanation of the science and evolution of energy use by humans that this book will not inform the scientific community. I have a Ph.D. in Mathematics, a rich history of study in the physical sciences, and a lifelong career as a computer scientist yet every page of this book managed to inform me in ways I had not previously connected.<br/><br/>Read it.",,,1,0
18811245,MaddAddam (MaddAddam Trilogy #3),Margaret Atwood,"Atwood, Margaret",,"=""0307455483""","=""9780307455482""",5,4.01,Random House Anchor Books,Paperback,394,2014,2013,,2015/07/16,"fiction, science-fiction","fiction (#113), science-fiction (#106)",read,,,,1,0
6080337,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,"Atwood, Margaret",,"=""0385528779""","=""9780385528771""",5,4.06,Doubleday Nan A. Talese,Hardcover,431,2009,2009,,2015/07/16,"fiction, science-fiction","fiction (#112), science-fiction (#105)",read,,,,1,0
817628,Exo-Psychology: A Manual on the Use of the Human Nervous System According to the Instructions of the Manufacturers,Timothy Leary,"Leary, Timothy",,"=""0915238160""","=""9780915238163""",5,3.85,Peace Press,Hardcover,134,1977,1977,,2009/06/09,"philosophy, science, leary","philosophy (#23), science (#16), leary (#5)",read,,,,1,0
6192934,Gulliver's Travels,Jonathan Swift,"Swift, Jonathan",,"=""""","=""""",4,3.58,,Kindle Edition,320,,1726,,2014/09/30,,,read,,,,1,0
40470,"Cities of the Plain (The Border Trilogy, #3)",Cormac McCarthy,"McCarthy, Cormac",,"=""0679747192""","=""9780679747192""",5,4.11,Vintage Books,Paperback,292,1999,1998,,2014/09/30,"fiction, literature","fiction (#111), literature (#125)",read,Everytime I finish a Cormac McCarthy novel I ask myself why haven't I read all of his works ? Clearly he is the greatest of our living writers.,,,1,0
961585,In Watermelon Sugar,Richard Brautigan,"Brautigan, Richard",,"=""0440340268""","=""9780440340263""",5,3.82,Dell Publishing Company,Paperback,166,1973,1968,,2009/06/09,"literature, novels, brautigan, fiction","literature (#26), novels (#106), brautigan (#14), fiction (#97)",read,,,,1,0
13832134,What Is Life?: With Mind and Matter and Autobiographical Sketches,Erwin Schrödinger,"Schrödinger, Erwin",Roger Penrose,"=""1107604664""","=""9781107604667""",5,4.14,Cambridge University Press,Paperback,184,2012,1944,2015/04/19,2015/01/04,,,read,,,,1,0
46756,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5,4.01,Anchor Books,Paperback,389,2004,2003,,2015/04/19,,,read,,,,1,0
687730,Star Fire,Ingo Swann,"Swann, Ingo",,"=""0722183038""","=""9780722183038""",5,3.89,Sphere,Paperback,314,1978,1978,2015/02/14,2015/01/04,science-fiction,science-fiction (#104),read,"From the author bio at the end of the book:<br/><br/>INGO SWANN is America's most researched super-psychic, a fine artist, and a gifted writer. His credentials are unique - he is ""a cosmic psychonaut who probably has a better grasp of parapsychology than most professional researchers"" ... a ""sensitive"" who has caused temperature changes in remote targets by pure force of will, and who used out-of-body astral projection to correctly predict the major scientific surprise of the Mariner 10 Mercury probe! His powers have been irrefutably demonstrated at the prestigious Stanford Research Institute.<br/><br/>Read more about Swann in the Wikipedia article at https://en.wikipedia.org/wiki/Ingo_Swann",,,1,0
79356,Pillar of Fire: America in the King Years 1963-65,Taylor Branch,"Branch, Taylor",,"=""0684848090""","=""9780684848099""",5,4.35,Simon  Schuster,Paperback,768,1999,1998,,2015/01/04,"biography, nonfiction","biography (#18), nonfiction (#16)",read,,,,1,0
18050057,Bark,Lorrie Moore,"Moore, Lorrie",,"=""0307594130""","=""9780307594136""",5,3.59,Knopf,Hardcover,192,2014,2014,,2014/10/28,short-stories,short-stories (#41),read,,,,1,0
22247011,Lonesome Dove,Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",5,4.51,SIMON & SCHUSTER,Hardcover,,,1985,,2009/06/10,"literature, novels, fiction, mcmurtry","literature (#47), novels (#69), fiction (#64), mcmurtry (#15)",read,,,,1,0
836581,"Pop It in the Toaster Oven: From Entrees to Desserts, More Than 250 Delectable, Healthy, and Convenient Recipes",Lois Dewitt,"Dewitt, Lois",,"=""0609807684""","=""9780609807682""",4,3.57,Clarkson Potter,Paperback,240,2002,2002,,2014/09/30,,,read,,,,1,0
58652,Lost Girls,Alan Moore,"Moore, Alan",Melinda Gebbie,"=""1891830740""","=""9781891830747""",5,3.60,Top Shelf Productions,Hardcover,320,2006,2006,,2014/09/30,,,read,,,,1,0
1271823,Math Doesn't Suck: How to Survive Middle-School Math Without Losing Your Mind or Breaking a Nail,Danica McKellar,"McKellar, Danica",,"=""1594630399""","=""9781594630392""",5,4.17,Avery,Hardcover,320,2007,2007,,2014/09/30,,,read,,,,1,0
151533,The Complete Idiot's Guide to Creating a Graphic Novel,Nat Gertler,"Gertler, Nat",Steve Lieber,"=""1592572332""","=""9781592572335""",4,3.79,Alpha,Paperback,352,2004,2004,,2014/09/30,,,read,,,,1,0
160446,Writing and Illustrating the Graphic Novel: Everything You Need to Know to Create Great Graphic Works,Mike Chinn,"Chinn, Mike",Paul Forrester,"=""0764127888""","=""9780764127885""",4,3.32,B.E.S. Publishing,Paperback,128,2004,2004,,2014/09/30,,,read,,,,1,0
558059,The Fractal Geometry of Nature,Benoît B. Mandelbrot,"Mandelbrot, Benoît B.",,"=""0716711869""","=""9780716711865""",5,4.22,Times Books,Hardcover,480,1982,1977,,2014/09/30,,,read,,,,1,0
438098,Others Unknown: Timothy Mcveigh and the Oklahoma City Bombing Conspiracy,Stephen        Jones,"Jones, Stephen",Peter Israel,"=""1586480987""","=""9781586480981""",5,3.88,PublicAffairs,Paperback,416,2001,1998,,2014/09/30,,,read,,,,1,0
2249196,"All-Star Superman, Vol. 2",Grant Morrison,"Morrison, Grant",Frank Quitely,"=""1401218377""","=""9781401218379""",5,4.33,DC Comics,Hardcover,154,2009,2009,,2014/09/30,,,read,,,,1,0
2325421,All-Star Superman: Volume 1,Grant Morrison,"Morrison, Grant",Frank Quitely,"=""140121102X""","=""9781401211028""",5,4.09,DC Comics,Paperback,160,2008,2007,,2014/09/30,,,read,,,,1,0
472331,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",5,4.37,DC Comics,Paperback,416,2005,1987,,2014/09/30,,,read,,,,1,0
6455596,Household Gods,Aleister Crowley,"Crowley, Aleister",,"=""""","=""""",4,3.12,,Kindle Edition,,,1912,,2014/09/30,,,read,,,,1,0
6301084,The Iliad,Homer,"Homer, Homer",,"=""""","=""""",4,3.89,,Kindle Edition,482,,-800,,2014/09/30,,,read,,,,1,0
18626857,The Adventures of Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",4,4.30,Public Domain Books,Kindle Edition,104,1999,1892,,2014/09/30,,,read,,,,1,0
6202772,The Three Musketeers,Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""""",4,4.09,,Kindle Edition,288,,1844,,2014/09/30,,,read,,,,1,0
6323011,The Art of War,Sun Tzu,"Tzu, Sun",,"=""""","=""""",4,3.97,,Kindle Edition,,,-500,,2014/09/30,,,read,,,,1,0
6323710,Man and Superman,George Bernard Shaw,"Shaw, George Bernard",,"=""""","=""""",3,3.86,,Kindle Edition,,,1903,,2014/09/30,,,read,,,,1,0
6461180,We Philologists,Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""""","=""""",3,3.81,Public Domain Books,Kindle Edition,61,2006,1875,,2014/09/30,,,read,,,,1,0
383920,Elementary Geometry,Roy David Gustafson,"Gustafson, Roy David",Peter D. Frisk,"=""0471510025""","=""9780471510024""",4,4.67,Wiley,Hardcover,464,1991,,,2014/09/30,,,read,,,,1,0
22446,Book of Lies: The Disinformation Guide to Magick and the Occult,Richard Metzger,"Metzger, Richard","Grant Morrison, Michael Moynihan, Tracy R. Twyman, Vere C. Chappell, Mark Pesce, Genesis P-Orridge, Paul Laffoley, Daniel Pinchbeck, Nevill Drury, Donald Tyson, Erik Davis","=""097139427X""","=""9780971394278""",4,4.05,Disinformation Books,Paperback,352,2008,2003,,2014/09/30,,,read,,,,1,0
433322,"Goetia the Lesser Key of Solomon the King: Lemegeton, Book 1 Clavicula Salomonis Regis",S.L. MacGregor Mathers,"Mathers, S.L. MacGregor","Aleister Crowley, Hymenaeus Beta","=""087728847X""","=""9780877288473""",4,3.98,Red Wheel,Paperback,134,1995,1650,,2014/09/30,,,read,,,,1,0
3556999,Black Elk Speaks,John G. Neihardt,"Neihardt, John G.",,"=""1438425406""","=""8580001066455""",5,4.12,Excelsior Editions/State University of New York Press,Paperback,334,2008,1932,,2014/09/30,,,read,,,,1,0
534289,The I Ching or Book of Changes,Anonymous,"Anonymous, Anonymous","Cary F. Baynes, Richard Wilhelm, C.G. Jung","=""069109750X""","=""9780691097503""",5,4.19,Princeton University Press,Hardcover,740,1997,-850,,2014/09/30,,,read,,,,1,0
8642149,"Uncle John's Heavy Duty Bathroom Reader (Uncle John's Bathroom Reader, #23)",Bathroom Readers' Institute,"Institute, Bathroom Readers'",,"=""1607101831""","=""9781607101833""",4,4.35,Portable Press,Paperback,540,2010,2010,,2014/09/30,,,read,,,,1,0
11697009,The CIA World Factbook 2008,Central Intelligence Agency,"Agency, Central Intelligence",,"=""""","=""""",3,3.81,,Kindle Edition,,,1993,,2014/09/30,,,read,,,,1,0
